
  Input Parameters of the Scattering Problem:

  wavelength of the ambient medium, wavelength =    5.5000E+02;
  axisymmetric particle;
  name of the file containing the T matrix, FileTmat = T_matrix_spheroid.dat                                                           
  maximum expansion order, Nrank =   5;
  maximum azimuthal order, Mrank =   4;
  average over Euler orientation angles:
  alphamin =   45.00, alphamax =   45.00, Nalpha =   1,
  betamin  =   45.00, betamax  =   45.00, Nbeta  =   1;
  plane wave excitation;
  incident direction, thetaGI =    0.00, phiGI =    0.00;
  beta  polarization vector = ( 1.000E+00, 0.000E+00)
  alpha polarization vector = ( 1.000E+00, 0.000E+00)
  scattering plane, phiGS =    0.00;
  characteristic length of the scatterer, anorm =  1.000E+00;
  normalization constant, pi * anorm**2 =    3.1416E+00;


  Results:

  Cross Sections and Efficiencies:
  <Cscat> =    2.3863E+05     <Qscat> =    7.5957E+04
  <Cext>  =    2.3862E+05     <Qext>  =    7.5956E+04

  Differential Scattering Cross Section:
  normalized average  differential scattering cross section
  theta         parallel        perpendicular

   0.00        8.7199E+03        8.7199E+03
   1.00        8.7361E+03        8.7081E+03
   2.00        8.7489E+03        8.6930E+03
   3.00        8.7581E+03        8.6746E+03
   4.00        8.7638E+03        8.6530E+03
   5.00        8.7660E+03        8.6280E+03
   6.00        8.7647E+03        8.5998E+03
   7.00        8.7599E+03        8.5683E+03
   8.00        8.7516E+03        8.5335E+03
   9.00        8.7398E+03        8.4955E+03
  10.00        8.7246E+03        8.4542E+03
  11.00        8.7060E+03        8.4098E+03
  12.00        8.6841E+03        8.3621E+03
  13.00        8.6588E+03        8.3114E+03
  14.00        8.6303E+03        8.2575E+03
  15.00        8.5986E+03        8.2005E+03
  16.00        8.5638E+03        8.1405E+03
  17.00        8.5260E+03        8.0776E+03
  18.00        8.4852E+03        8.0117E+03
  19.00        8.4415E+03        7.9429E+03
  20.00        8.3950E+03        7.8713E+03
  21.00        8.3458E+03        7.7970E+03
  22.00        8.2940E+03        7.7200E+03
  23.00        8.2398E+03        7.6404E+03
  24.00        8.1831E+03        7.5582E+03
  25.00        8.1242E+03        7.4736E+03
  26.00        8.0631E+03        7.3866E+03
  27.00        8.0000E+03        7.2973E+03
  28.00        7.9350E+03        7.2058E+03
  29.00        7.8681E+03        7.1121E+03
  30.00        7.7996E+03        7.0164E+03
  31.00        7.7296E+03        6.9188E+03
  32.00        7.6581E+03        6.8193E+03
  33.00        7.5853E+03        6.7180E+03
  34.00        7.5114E+03        6.6151E+03
